,price,year,origin,firstCirculationDate,technicalControl,firstHand,mileage,energy,gearbox,externalColor,doors,seats,length,trunkVolumeRange,consumption,co2
1103,12710,2006,France,17/07/2006,Requis,Non,81620,Essence,Automatique,noir metal,2.0,4.0,4.57,Moyen Coffre,9.4,
1104,22530,2018,France,15/01/2019,Requis,Non,101200,Essence,Automatique,marron,5.0,5.0,4.45,Moyen Coffre,4.7,120.0
1105,21270,2020,Importé,21/02/2020,Non requis,Non,132906,Diesel,Manuelle,noir,5.0,5.0,4.6,Moyen Coffre,4.2,101.0
1106,152130,2020,Importé,08/11/2020,Non requis,Non,39480,Essence,Automatique,blanc,2.0,4.0,4.52,Petit coffre,9.9,205.0
1107,29850,2021,France,07/10/2021,Non requis,Non,76913,Diesel,Automatique,noir,5.0,5.0,4.31,Grand coffre,5.5,146.0
1108,18620,2022,France,14/11/2022,Non requis,Oui,72250,Essence,Manuelle,bleu,5.0,5.0,4.06,Grand coffre,5.5,125.0
1109,48800,2022,France,10/03/2022,Non requis,Oui,9957,Electrique,Automatique,blanc metal,5.0,5.0,4.69,Moyen Coffre,,
1110,32240,2020,Importé,08/06/2020,Non requis,Oui,50070,Diesel,Automatique,gris,5.0,5.0,,,,114.0
1111,28540,2021,Importé,24/07/2021,Non requis,Oui,17870,Essence,Automatique,rouge,5.0,,,,,131.0
1112,50200,2021,France,25/08/2021,Non requis,Non,70433,Hybride essence électrique,Automatique,Bleu,5.0,5.0,4.43,Moyen Coffre,,
1113,23080,2019,France,01/07/2019,Requis,Oui,99345,Essence,Automatique,noir metal,5.0,7.0,4.64,Grand coffre,,115.0
1114,19700,2022,France,27/12/2022,Non requis,Non,48664,Essence,Manuelle,GRIS ARTENSE,5.0,5.0,4.06,Grand coffre,5.4,123.0
1115,33810,2021,France,02/12/2021,Non requis,Non,27900,Hybride essence électrique,Automatique,GRIS FONCE,5.0,5.0,4.48,Moyen Coffre,,
1116,27230,2023,France,08/12/2023,Non requis,Non,3870,Essence,Automatique,noir,5.0,5.0,4.05,Moyen Coffre,5.4,123.0
1117,33260,2024,France,15/01/2025,Non requis,Non,12,Essence,Manuelle,bleu,5.0,5.0,,,,
1118,42000,2017,France,22/01/2018,Requis,Oui,88020,Electrique,Automatique,bleu,5.0,5.0,4.97,,,
1119,76580,2022,France,22/08/2022,Non requis,Non,12508,Essence,Automatique,bleu metal,2.0,2.0,4.18,Petit coffre,7.0,152.0
1120,15940,2017,France,20/10/2017,Requis,Non,108072,Diesel,Manuelle,gris,5.0,5.0,4.12,Moyen Coffre,3.6,98.0
1121,60210,2022,France,26/02/2022,Non requis,Oui,16950,Hybride essence électrique,Automatique,clair nacre,5.0,5.0,4.6,Moyen Coffre,,
1122,35320,2021,France,07/11/2021,Non requis,Oui,51447,Hybride essence électrique,Automatique,BLANC NACRE,5.0,5.0,4.45,Moyen Coffre,,
1123,54700,2024,France,17/04/2024,Non requis,Non,6839,Essence,Automatique,blanc,5.0,5.0,4.32,Grand coffre,7.4,167.0
1124,22300,2022,France,17/08/2022,Non requis,Oui,93129,Diesel,Automatique,noir,5.0,5.0,4.87,Grand coffre,5.7,154.0
